area_name,salary
Москва,98810.31895370063
Минск,96110.53547632191
Сочи,90486.38709084208
Киев,83165.91046801738
Санкт-Петербург,82891.22382683116
Астана,81267.78236373789
Новосибирск,77708.83318471842
Зеленоград,76959.28052724699
Владивосток,75021.08066453013
Химки,73077.41421069182
Екатеринбург,73060.84050786856
Мытищи,71836.62707522936
Ташкент,70223.0632894934
Подольск,69892.65271826675
Одинцово,69543.82452878905
Красногорск,68928.805606469
Харьков,66935.64559734371
Казань,66888.27665367936
Бишкек,66232.49717684464
Томск,66156.88902346304
