area_name,salary
Кипр,301361.7993975904
ОАЭ,251020.17857142858
Сербия,234769.4823
Тбилиси,213523.16629870128
Армения,210811.1082142857
Турция,205266.3081111111
Батуми,178105.2225
Воронеж,164524.95871875
США,134764.75865384616
Новосибирск,130569.91427816902
Санкт-Петербург,118439.03673035714
Брест,108842.74306666666
Днепр (Днепропетровск),101665.24938043478
Самара,98030.95273913044
Москва,90158.24589506362
Баку,89689.50319148936
Минск,88210.9004740053
Киев,74885.29284517404
Астана,74057.6046297198
Ташкент,72821.77056624531
Нижний Новгород,72608.66073076923
Россия,71074.73434333333
Екатеринбург,66601.66265957447
Одесса,64019.08225000001
Краснодар,63850.113611111105
Алматы,63647.91241404658
Гомель,60464.69972222222
Актау,58327.56933333333
Ростов-на-Дону,57887.24888888889
Бишкек,57789.37352522936
Центральный округ,57267.24375
Атырау,56004.72994186047
Харьков,55658.70011875
Казань,53760.627812499995
Актобе,49309.61795871874
Уральск,46217.1745
Нур-Султан,46090.82563412956
Львов,44642.26772727272
Караганда,43388.33593001333
Костанай,43289.45315771429
Шымкент,42634.642284210524
Аксай (Казахстан),41665.18235294118
Усть-Каменогорск,40025.10087378641
Тараз,36356.05737037037
Самарканд,35878.504868421056
Запорожье,35257.1825
Петропавловск,34605.17965938637
Павлодар,33310.86418181818
Семей,31571.17716666667
