area_name,salary
Тбилиси,208438.04476470588
Москва,121686.97391406461
Зеленоград,112304.04007633588
Химки,111757.76289473684
Сочи,106091.16654545454
Санкт-Петербург,99551.93429618805
Минск,96839.40956224255
Подольск (Московская область),92725.24897959184
Набережные Челны,82581.5
Красногорск,82573.5891891892
Курск,81561.39103585656
Уфа,80576.77391752577
Нижний Новгород,80183.67400304569
Калининград,79490.91813996316
Казань,79197.0691053282
Екатеринбург,78553.51056796628
Самара,78254.50247381671
Калуга,77771.09401709402
Воронеж,77656.80217645474
Новосибирск,77543.3374128886
