year,salary
2003,41092.665185185186
2004,45476.86739789916
2005,47343.42612133891
2006,43925.021300052744
2007,54447.81910677632
2008,56711.727619376696
2009,55368.68335114504
2010,53809.01527184161
2011,61254.57751460968
2012,64702.68267771212
2013,64043.1049085736
2014,64828.899766883515
2015,62310.0912595875
2016,63418.634524262336
2017,66726.39668391009
2018,72289.43835686505
2019,81325.36114245652
2020,88139.41187952494
2021,100098.17832173528
2022,105876.06310991457
2023,113526.11969129796
2024,135324.27342006165
