year,skill,count
2015,Бизнес-анализ,156
2015,SQL,116
2015,Business Analysis,106
2015,MS Excel,104
2015,Business Analisys,99
2015,Управление проектами,77
2015,Google Analytics,62
2015,Английский язык,56
2015,Ведение переговоров,56
2015,Яндекс.Метрика,53
2015,MS SQL,51
2015,UML,47
2015,Контекстная реклама,42
2015,Интернет-реклама,41
2015,Управление интернет-проектами,40
2015,Моделирование бизнес процессов,39
2015,Работа в команде,39
2015,Разработка технических заданий,38
2015,Google AdWords,37
2015,Оптимизация бизнес-процессов,37
2016,SQL,406
2016,MS Excel,374
2016,Управление проектами,354
2016,Бизнес-анализ,320
2016,Разработка технических заданий,235
2016,Моделирование бизнес процессов,223
2016,Python,205
2016,UML,199
2016,Google Analytics,178
2016,Английский язык,175
2016,Оптимизация бизнес-процессов,171
2016,Big Data,168
2016,Яндекс.Метрика,164
2016,MS SQL,152
2016,Аналитический склад ума,139
2016,Работа в команде,136
2016,VBA,135
2016,MS Visio,134
2016,Системный анализ,131
2016,CRM,125
2017,SQL,763
2017,Бизнес-анализ,625
2017,Управление проектами,574
2017,MS Excel,565
2017,UML,402
2017,Разработка технических заданий,391
2017,Английский язык,390
2017,Оптимизация бизнес-процессов,342
2017,Моделирование бизнес процессов,327
2017,Системный анализ,325
2017,MS SQL,281
2017,BPMN,256
2017,Работа в команде,240
2017,Ведение переговоров,233
2017,MS Visio,231
2017,Google Analytics,224
2017,Python,178
2017,Веб-аналитика,177
2017,Яндекс.Метрика,177
2017,Деловая переписка,167
2018,SQL,1562
2018,Бизнес-анализ,1124
2018,Управление проектами,1034
2018,MS Excel,944
2018,Английский язык,679
2018,Оптимизация бизнес-процессов,664
2018,Системный анализ,622
2018,Разработка технических заданий,603
2018,Python,565
2018,Моделирование бизнес процессов,558
2018,UML,528
2018,Работа в команде,448
2018,BPMN,431
2018,MS SQL,419
2018,Ведение переговоров,381
2018,Google Analytics,378
2018,MS Visio,373
2018,Аналитический склад ума,335
2018,CRM,317
2018,Веб-аналитика,289
2019,SQL,3790
2019,Бизнес-анализ,2442
2019,Управление проектами,1499
2019,MS Excel,1472
2019,Разработка технических заданий,1457
2019,UML,1412
2019,Системный анализ,1379
2019,Английский язык,1378
2019,Python,1349
2019,MS SQL,1287
2019,BPMN,1266
2019,MS Visio,1201
2019,Оптимизация бизнес-процессов,1019
2019,Моделирование бизнес процессов,978
2019,MS PowerPoint,944
2019,Аналитическое мышление,941
2019,Работа в команде,890
2019,Аналитические исследования,832
2019,Анализ данных,788
2019,Atlassian Jira,726
2020,SQL,11179
2020,Бизнес-анализ,7103
2020,UML,4768
2020,Разработка технических заданий,4734
2020,MS SQL,4585
2020,MS Visio,4146
2020,Системный анализ,3809
2020,BPMN,3764
2020,Английский язык,3452
2020,MS PowerPoint,3217
2020,Аналитическое мышление,3175
2020,Python,3070
2020,Управление проектами,2762
2020,Atlassian Jira,2669
2020,Аналитические исследования,2505
2020,Анализ данных,2313
2020,MS Excel,2068
2020,XML,1823
2020,Работа в команде,1813
2020,Постановка задач разработчикам,1800
2021,SQL,22667
2021,Бизнес-анализ,12258
2021,Аналитическое мышление,9250
2021,BPMN,8717
2021,UML,8706
2021,MS PowerPoint,8196
2021,Английский язык,8161
2021,Разработка технических заданий,8083
2021,Системный анализ,7474
2021,Python,7431
2021,MS SQL,6522
2021,Анализ данных,6360
2021,MS Visio,6296
2021,Управление проектами,5437
2021,Atlassian Jira,5386
2021,Работа с большим объемом информации,4141
2021,Аналитические исследования,4054
2021,MS Excel,3994
2021,Работа в команде,3845
2021,Постановка задач разработчикам,3774
2022,SQL,24157
2022,Аналитическое мышление,13784
2022,BPMN,11851
2022,Бизнес-анализ,11281
2022,MS PowerPoint,9803
2022,UML,9601
2022,Анализ данных,8614
2022,Английский язык,8213
2022,Системный анализ,8050
2022,Разработка технических заданий,7998
2022,Python,7763
2022,Работа с большим объемом информации,6614
2022,Atlassian Jira,5849
2022,Управление проектами,5464
2022,Постановка задач разработчикам,4916
2022,MS Visio,4911
2022,Работа в команде,4794
2022,Моделирование бизнес процессов,4703
2022,MS SQL,4192
2022,MS Excel,4013
2023,SQL,20895
2023,Аналитическое мышление,12676
2023,BPMN,11559
2023,Бизнес-анализ,9823
2023,UML,9100
2023,Системный анализ,8307
2023,Анализ данных,8244
2023,Разработка технических заданий,6892
2023,Python,6626
2023,Работа с большим объемом информации,5917
2023,Аналитика,5698
2023,Постановка задач разработчикам,4902
2023,REST,4762
2023,MS Excel,4758
2023,MS PowerPoint,4689
2023,Моделирование бизнес процессов,4275
2023,Atlassian Jira,3675
2023,MS SQL,3647
2023,Английский язык,3482
2023,Power BI,3453
2024,SQL,17807
2024,BPMN,10156
2024,Аналитическое мышление,9990
2024,Бизнес-анализ,8835
2024,Системный анализ,8042
2024,UML,7800
2024,Анализ данных,6500
2024,Python,5962
2024,Разработка технических заданий,5525
2024,MS Excel,5316
2024,Работа с большим объемом информации,4825
2024,Аналитика,4769
2024,Постановка задач разработчикам,4525
2024,REST,4317
2024,Power BI,3279
2024,Сбор и анализ информации,3044
2024,Моделирование бизнес процессов,3022
2024,Работа с базами данных,2984
2024,MS SQL,2946
2024,SOAP,2831
